case_name,dataset,score
S70_S0907,real_train,0.8639938
S40_S0091,real_train,0.7189961
A50_S0399,real_train,0.8580702
S60_S0642,real_train,0.88431394
S50_S0400,real_train,0.798294
S60_S0126,real_train,0.87106466
A60_S0382,real_train,0.8934564
A40_S0088,real_train,0.724997
A60_S1052,real_train,0.88183665
S50_S0529,real_train,0.8460047
S40_S0304,real_train,0.49607962
A50_S0993,real_train,0.8191673
S60_S0361,real_train,0.88273466
A40_S0259,real_train,0.73628867
S50_S0725,real_train,0.81527954
S60_S0316,real_train,0.9019115
S50_S0392,real_train,0.8435853
S70_S0571,real_train,0.87508243
S50_S0935,real_train,0.73285407
S60_S0937,real_train,0.8941858
A60_S0016,real_train,0.8852946
S60_S1014,real_train,0.8519145
S50_S1003,real_train,0.72344625
S50_S0159,real_train,0.8301272
S50_S0002,real_train,0.7478025
S60_S0462,real_train,0.85761076
S50_S1174,real_train,0.79334235
A60_S0488,real_train,0.8904938
A40_S0286,real_train,0.62438256
S40_S1091,real_train,0.6186684
A60_S0716,real_train,0.86481035
S60_S0929,real_train,0.8989894
S40_S0295,real_train,0.73040044
S60_S0223,real_train,0.87750506
A70_S0975,real_train,0.8665186
S60_S0090,real_train,0.8801891
A50_S0715,real_train,0.80395776
S60_S0539,real_train,0.8824804
A50_S0370,real_train,0.80001336
A70_S0243,real_train,0.87810224
S40_S1156,real_train,0.7468827
A50_S0630,real_train,0.80545366
S70_S0727,real_train,0.8921445
S60_S0503,real_train,0.85581535
A50_S0770,real_val,0.762515
A50_S0076,real_val,0.84551
A60_S1001,real_val,0.89941216
A60_S0739,real_val,0.8804115
A50_S0401,real_val,0.7456521
A60_S0420,real_val,0.89499635
S50_S0358,real_val,0.75942796
A70_S0676,real_val,0.8175902
S50_S1107,real_val,0.73068553
A70_S1070,real_val,0.88346535
A60_S0592,real_val,0.8887904
A60_S0182,real_val,0.87306124
S50_S0005,real_val,0.74886703
S60_S0205,real_val,0.886523
A40_S1120,real_val,0.65559053
S50_S0336,real_val,0.7722164
S50_S0621,real_val,0.84108436
S50_S0533,real_val,0.72378516
S50_S0964,real_val,0.7819082
S50_S0078,real_val,0.8409239
S50_S1055,real_val,0.82645535
S50_S0265,real_val,0.6688183
S70_S0184,real_val,0.84696984
S50_S0817,real_val,0.79003924
A60_S0417,real_val,0.8795698
S60_S0636,real_val,0.8771532
S50_S0487,real_val,0.7763396
S40_S0313,real_val,0.74961597
S60_S0823,real_val,0.8699425
A40_S0414,real_val,0.6680174
A40_S1131,real_val,0.56220275
S60_S0599,real_val,0.8366267
S30_S0857,real_val,0.4916006
S40_S0492,real_val,0.7737839
S50_S0818,real_val,0.73771304
S50_S0530,real_val,0.84810454
S60_S1147,real_val,0.90358084
A40_S0031,real_val,0.75762266
S60_S0342,real_val,0.85576475
S50_S0211,real_val,0.8300731
A70_S0333,real_val,0.8520209
S40_S0805,real_val,0.765022
S60_S0264,real_val,0.90241593
S50_S0515,real_val,0.80517644
A40_S0427,real_val,0.608714
A60_S0497,real_val,0.8123093
S50_S0498,real_val,0.80428404
A60_S0322,real_val,0.8820361
S40_S0944,real_val,0.5374825
S60_S0553,real_val,0.8740685
A40_S0385,real_val,0.60644627
A50_S0541,real_val,0.8357422
S60_S0711,real_val,0.8829346
S40_S0344,real_val,0.67555857
S60_S0273,real_val,0.8597614
S40_S0122,real_val,0.68929386
A60_S1146,real_val,0.892605
A50_S0472,real_val,0.7793159
S40_S0202,real_val,0.73777497
S50_S1069,real_val,0.82502705
S60_S1123,real_val,0.88361543
S70_S1134,real_val,0.8997096
S60_S0567,real_val,0.8595436
A70_S0436,real_val,0.87645364
S60_S0751,real_val,0.8760156
A60_S0574,real_val,0.8410191
S40_S0900,real_val,0.7339635
S60_S0209,real_val,0.8966326
A50_S0238,real_val,0.84196204
S60_S0437,real_val,0.8790679
S60_S0551,real_val,0.89007163
S60_S1101,real_val,0.86688095
S40_S0846,real_val,0.6168407
S50_S0290,real_val,0.8253319
A60_S0137,real_val,0.8708731
S60_S0060,real_val,0.8514953
A40_S0745,real_val,0.69113284
